Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
naturalgear-caphat-baseballcap-natural,BASEBALL CAP NATURAL 刺繍なし,"<p>NATURAL GEARは、二人の兄弟のハンターによって、アーカンソー州で設立されたハンティング衣料のブランドです。二人は、狩猟の場となる環境の写真をもとに、そこで主となる色・形状・縦方向のパターンから迷彩Colorをデザインし、幾度ものテスト・改良をくりかえしながら独自のハンティング迷彩を作り上げました。1994年に発表された季節・場所を選ばず背景に溶け込む ”NATURAL"" 迷彩Colorはハンターの間で大きな反響をまきおこし、高品質な製品とともに、今日のアメリカのハンティング衣料をリードするブランドとなっています。</p>",NATURAL GEAR,,CAPS/HATS,"cap, hat, NATURAL GEAR, キャップ, ナチュラルギア, ハット, ベースボールキャップ, 刺繍なし, 帽子",true,Title,Default Title,,,,,NR-111,0.0,shopify,50,deny,manual,2500,,true,true,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/nr-111-b.gif?v=1588747219,1,,false,,"NATURAL GEARは、二人の兄弟のハンターによって、アーカンソー州で設立されたハンティング衣料のブランドです。二人は、狩猟の場となる環境の写真をもとに、そこで主となる色・形状・縦方向のパターンから迷彩Colorをデザインし、幾度ものテスト・改良をくりかえしながら独自のハンティング迷彩を作り上げました。1994年に発表された季節・場所を選ばず背景に溶け込む ”NATURAL"" 迷彩Colorはハンターの間で大きな反響をまきおこし、高品質な製品とともに、今日のアメリカのハンティング衣料をリードするブランドとなっています。",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/nr-111-b.gif?v=1588747219,kg,,,active
naturalgear-caphat-baseballcap-natural,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/f-us02.gif?v=1588747219,2,,,,,,,,,,,,,,,,,,,,,,
naturalgear-caphat-baseballcap-natural,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/logo-natural-gear.gif?v=1588747219,3,,,,,,,,,,,,,,,,,,,,,,
naturalgear-caphat-baseballcap-natural-patch,BASEBALL CAP NATURAL 刺繍入り,"<p>NATURAL GEARは、二人の兄弟のハンターによって、アーカンソー州で設立されたハンティング衣料のブランドです。二人は、狩猟の場となる環境の写真をもとに、そこで主となる色・形状・縦方向のパターンから迷彩Colorをデザインし、幾度ものテスト・改良をくりかえしながら独自のハンティング迷彩を作り上げました。1994年に発表された季節・場所を選ばず背景に溶け込む ”NATURAL"" 迷彩Colorはハンターの間で大きな反響をまきおこし、高品質な製品とともに、今日のアメリカのハンティング衣料をリードするブランドとなっています。</p>",NATURAL GEAR,,CAPS/HATS,"cap, Natural Gear, キャップ, ナチュラルギア, ベースボールキャップ, 刺繍, 帽子",true,Title,Default Title,,,,,NR-111-E,0.0,shopify,50,deny,manual,2800,,true,true,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/nr-111-e-b.gif?v=1588747229,1,,false,,フリーSize,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/nr-111-e-b.gif?v=1588747229,kg,,,active
naturalgear-caphat-baseballcap-natural-patch,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/f-us02_6e6f7b73-6b23-4570-9f9a-2de4305b284a.gif?v=1588747229,2,,,,,,,,,,,,,,,,,,,,,,
naturalgear-caphat-baseballcap-natural-patch,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/logo-natural-gear_dfd41314-358b-47d3-b98e-58d8ebe481ba.gif?v=1588747229,3,,,,,,,,,,,,,,,,,,,,,,
helikontex-caphat-baseballcap-mesh,BASEBALL MESH CAP,<p>HELIKON-TEX（ヘリコンテックス）は、1983年にポーランドのサープラス業者を前身として創業された会社です。現在は、ヨーロッパを中心に世界中にミリタリー衣料・装備をプロからファッションのマーケットまで供給するブランドです。</p>,Helikon-Tex,,CAPS/HATS,"baseball cap, BASEBALL MESH, BLACK, CAMO GROM, COYOTE BROWN, helikon, helikontex, O.D, OD, tex, キャップ, ヘリコンテックス, ベースボールキャプ, 帽子",true,Color,BLACK,,,,,HT-331,0.0,shopify,50,deny,manual,2000,,true,true,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/ht-331-b.gif?v=1588747304,1,,false,,HELIKON-TEX（ヘリコンテックス）は、1983年にポーランドのサープラス業者を前身として創業された会社です。現在は、ヨーロッパを中心に世界中にミリタリー衣料・装備をプロからファッションのマーケットまで供給するブランドです。,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/ht-331-b.gif?v=1588747304,kg,,,active
helikontex-caphat-baseballcap-mesh,,,,,,,,,O.D.,,,,,HT-332,0.0,shopify,50,deny,manual,2000,,true,true,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/ht-332-b1.gif?v=1588747304,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/ht-332-b1.gif?v=1588747304,kg,,,
helikontex-caphat-baseballcap-mesh,,,,,,,,,COYOTE BROWN,,,,,HT-333,0.0,shopify,50,deny,manual,2000,,true,true,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/ht-333-b.gif?v=1588747304,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/ht-333-b.gif?v=1588747304,kg,,,
helikontex-caphat-baseballcap-mesh,,,,,,,,,CAMO GROM,,,,,HT-334,0.0,shopify,50,deny,manual,2000,,true,true,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/ht-334-b.gif?v=1588747304,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0331/5282/7529/products/ht-334-b.gif?v=1588747304,kg,,,
